JobFunctionId,JobFunctionName,JobFunctionNameVI
104,Content Marketing/Copywriter,Tiếp Thị Nội Dung
38,UX/UI Design,UX/UI Design
137,Facilities Management,Quản Lý Cơ Sở Vật Chất
74,Performance & Career Management,Quản Trị Hiệu Suất & Sự Nghiệp
23,Project Management,Quản Lý Dự Án
26,Database Administration,Quản Trị Cơ Sở Dữ Liệu
45,Video Editing,Chỉnh Sửa Video
47,Public Transport & Taxi Services,Dịch Vụ Vận Tải Công Cộng
112,Art Direction/Photography,Đạo Diễn Nghệ Thuật/Nhiếp Ảnh
144,Retail Assistant,Trợ Lý Bán Lẻ
117,Nursing,Y Tá
67,Stockbroking & Trading,Môi Giới & Giao Dịch Chứng Khoán
143,Buying,Thu Mua
70,F&B Management,Quản Lý F&B
69,Chefs/Cooks,Đầu Bếp
65,Funds Management,Quản Lý Quỹ
52,Chemical Engineering,Kỹ Thuật Hóa Học
142,Area/Multisite Management,Quản Lý Khu Vực
116,Medical Technologist,Kỹ Thuật Viên Y Tế
51,Biotechnologies,Công Nghệ Sinh Học
24,Urban Design & Planning,Thiết Kế & Quy Hoạch Đô Thị
125,Receptionist,Lễ Tân/Tiếp Tân
121,General Coordinator,Điều Phối
106,Event Management,Quản Lý Sự Kiện
77,Fleet Management,Quản Lý Đội Xe
55,Food Technology,Công Nghệ Thực Phẩm
96,Employment/Retirement Law,Luật Lao động/Hưu Trí
136,Real Estate Analysis,Phân Tích Dự Án Bất Động Sản
87,Front Office & Guest Services,Bộ Phận Tiền Sảnh & Dịch Vụ Khách Hàng
102,Agency Account Management,Quản Lý Tài Khoản Khách Hàng
157,CEO,CEO
9,Corporate Planning/Corporate Advisory,Kế hoạch/Tư Vấn Doanh Nghiệp
146,NGO/Non-Profit,NGO/Phi Lợi Nhuận
85,Risk Consulting,Tư Vấn Rủi Ro
71,Employee Engagement,Gắn Kết Nhân Viên
90,Tour Operator,Công Ty Kinh Doanh Lữ Hành
115,Doctor/General Practitioners/Residents,Bác Sĩ/Điều Trị Đa Khoa/Điều Trị Nội Trú
147,"Policy, Planning & Regulation","Chính sách, Quy hoạch & Quy định"
29,Hardware Developer,Phần Cứng Máy Tính
48,Rail & Maritime Transport,Vận Tải Đường Sắt & Hàng Hải
100,Legal Secretaries,Thư Ký Pháp Lý
135,Printing Technician,In Ấn
128,Safe Guard,Bảo Vệ
41,Customer Service - Customer Facing,Dịch Vụ Khách Hàng - Hướng Khách Hàng
68,Bar/Beverage/Waiting,Quầy Bar/Đồ Uống/Phục vụ
57,Mining/Oil/Gas,Khai Thác Mỏ
94,Construction Law,Luật Xây Dựng
113,Printing & Publishing Services,In Ấn & Xuất Bản
46,Aviation Services,Dịch Vụ Hàng Không
101,Tax Law,Luật Thuế
91,Tourist Guides,Hướng Dẫn Viên Du Lịch
0,,
88,Hotel Reservation,Đặt Phòng Khách Sạn
119,"Psychology, Counselling & Social Work",Tư Vấn Tâm Lý & Công Tác Xã Hội
114,Programming & Production,Sản Xuất Chương Trình
97,Intellectual/Property Law,Luật Sở Hữu Trí Tuệ
